1,15,18,21,25,26,39,41,58,83,85,155,166,Act
21,23,2,4565,19.2765,8.9368,64.0391,31.8953,0.0154,4.7239,0.5791,60.2772,0,1.58
23,23,2,5633,21.2244,10.3336,74.0391,36.5154,0.013,5.5482,0.5512,0,0,1.93
25,23,2,6789,23.179,10.6986,101.5489,38.1809,0.0134,4.7255,0.5267,71.6216,0,2.65
19,23,2,4133,19.1405,8.8411,48.5293,28.3529,0.0229,4.9959,0.5006,38.8341,0,1.46
19,23,2,4133,19.8407,9.3362,48.5293,28.3529,0.0229,4.1531,0.5455,38.5247,0,2.95
19,23,2,4133,20.2106,9.6005,48.5293,28.3529,0.0229,3.9814,0.5715,38.1359,0,3.93
22,23,2,5035,20.2496,9.1349,77.0586,32.7723,0.0154,4.5979,0.5683,65.4415,0,1.93
24,23,2,6151,22.201,10.5125,78.794,38.8811,0.0131,4.6756,0.5414,72.5326,0,2.34
20,23,2,4585,20.1132,9.0404,53.2842,30.6611,0.0192,5.0279,0.4929,48.5024,0,2.57
20,23,2,4585,20.8148,9.5289,53.2842,30.6611,0.0189,4.0917,0.5363,46.2484,0,1.66
20,23,2,4585,20.8148,9.5289,53.2842,30.6611,0.0189,4.0917,0.5363,46.2484,0,2.16
20,23,2,4585,21.1854,9.7895,53.2842,30.6611,0.0188,4.1866,0.5612,45.2804,0,4.18
27,29,3,7178,22.9073,10.5641,98.8127,36.3372,0.0154,5.0761,0.54,70.1792,0,3.08
29,29,3,8504,24.8419,11.9226,108.8128,41.089,0.0131,5.5422,0.5156,75.4134,0,3.6
31,29,3,9918,26.7834,12.3141,136.3225,42.9903,0.0134,5.7874,0.4941,85.5278,0,7
28,28,3,8065,23.8737,10.7717,109.8323,37.692,0.0154,6.006,0.5294,70.297,1.00E-05,26.9
30,27,2,9511,25.8119,12.116,104.3704,45.0332,0.0131,6.0044,0.506,80.111,1.00E-05,4.79
32,27,2,11180,29.2884,12.9955,121.3421,48.9692,0,6.7001,0.3903,0,1.00E-05,0.19
